name,num_atoms,pred_energy
Nafamostat mesylate,36,0.6736695170402527
Naftopidil Dihydrochloride,31,0.7286279201507568
Omeprazole (Prilosec),24,0.6151930689811707
Ondansetron hydrochloride (Zofran),23,0.7228370308876038
Pizotifen malate,30,0.6096159219741821
Resveratrol,17,0.5857843160629272
Rocuronium bromide,43,1.405859351158142
Tenofovir Disoproxil Fumarate,43,0.6464425921440125
Tenofovir (Viread),19,0.6598333120346069
Tigecycline,44,0.6022994518280029
Trilostane,28,0.5902665853500366
Vecuronium Bromide,45,1.40507972240448
Bimatoprost,30,0.5882711410522461
Linezolid (Zyvox),24,0.5992451906204224
Alfuzosin hydrochloride (Uroxatral),29,0.7267795205116272
Clopidogrel (Plavix),26,0.683847188949585
5-Aminolevulinic acid hydrochloride,10,0.7358432412147522
Ranolazine dihydrochloride,33,0.7263586521148682
Repaglinide,33,0.6016639471054077
Rolipram,20,0.5897379517555237
Sildenafil citrate,46,0.6372262835502625
Sumatriptan succinate,28,0.643588662147522
Tianeptine sodium,30,0.6585267186164856
Topiramate,22,0.6597614288330078
Tranilast (SB 252218),24,0.6043042540550232
Venlafaxine HCl,21,0.7238109707832336
Voriconazole,25,0.5906569957733154
Zileuton,16,0.606120228767395
Ziprasidone hydrochloride,29,0.7274718284606934
Zonisamide,14,0.653671145439148
Tipifarnib (Zarnestra),34,0.6115527153015137
Roxadustat (FG-4592),26,0.6035572290420532
Calcitriol (Rocaltrol),31,0.5938355922698975
Doxercalciferol (Hectorol),32,0.586430549621582
Alfacalcidol,30,0.5866195559501648
Moxifloxacin hydrochloride,32,0.7532764673233032
Safinamide Mesylate (FCE28073),27,0.6670470237731934
Daclatasvir (BMS-790052),54,0.6012263298034668
Iloperidone (Fanapt),31,0.5864897966384888
HMN-214,30,0.6381044983863831
Naratriptan HCl,24,0.7200513482093811
Ponatinib (AP24534),39,0.6183309555053711
Fludarabine (Fludara),20,0.5967978835105896
Betamethasone (Celestone),30,0.5990030765533447
Mycophenolate mofetil (CellCept),31,0.598434567451477
Dyphylline (Dilor),18,0.5952720642089844
"Aztreonam (Azactam, Cayston)",28,0.662109375
Tadalafil (Cialis),30,0.5929416418075562
Cyclosporine (Neoral),85,0.5930745601654053
Quizartinib (AC220),40,0.6005858182907104
Zinc Pyrithione,17,0.6184340715408325
Milnacipran HCl,19,0.7229906320571899
