name,num_atoms,pred_energy
Naftopidil Dihydrochloride,31,0.8235557079315186
Omeprazole (Prilosec),24,0.6475018858909607
Ondansetron hydrochloride (Zofran),23,0.8265204429626465
Pizotifen malate,30,0.63161301612854
Resveratrol,17,0.6095751523971558
Rocuronium bromide,43,3.469630241394043
Tenofovir Disoproxil Fumarate,43,0.6517469882965088
Tenofovir (Viread),19,0.686295747756958
Tigecycline,44,0.6275428533554077
Trilostane,28,0.6603292226791382
Vecuronium Bromide,45,3.4750711917877197
Bimatoprost,30,0.6120875477790833
Linezolid (Zyvox),24,0.6122303009033203
Alfuzosin hydrochloride (Uroxatral),29,0.8117432594299316
Clopidogrel (Plavix),26,0.7098701000213623
5-Aminolevulinic acid hydrochloride,10,0.7834203243255615
Ranolazine dihydrochloride,33,0.8170092105865479
Repaglinide,33,0.6228324174880981
Rolipram,20,0.6101995706558228
Sildenafil citrate,46,0.6624754667282104
Sumatriptan succinate,28,0.679634690284729
Tianeptine sodium,30,0.716030478477478
Topiramate,22,0.6822069883346558
Tranilast (SB 252218),24,0.6175063848495483
Venlafaxine HCl,21,0.8222917318344116
Voriconazole,25,0.6134098768234253
Zileuton,16,0.615856409072876
Ziprasidone hydrochloride,29,0.8154186010360718
Zonisamide,14,0.6974153518676758
Tipifarnib (Zarnestra),34,0.6598777770996094
Roxadustat (FG-4592),26,0.6178654432296753
Calcitriol (Rocaltrol),31,0.6292799711227417
Doxercalciferol (Hectorol),32,0.6221849918365479
Alfacalcidol,30,0.6194345951080322
Moxifloxacin hydrochloride,32,1.0029031038284302
Safinamide Mesylate (FCE28073),27,0.7109466195106506
Daclatasvir (BMS-790052),54,0.6216313242912292
Iloperidone (Fanapt),31,0.6126365065574646
HMN-214,30,0.6736322641372681
Naratriptan HCl,24,0.822577714920044
Ponatinib (AP24534),39,0.6627753973007202
Fludarabine (Fludara),20,0.6018635034561157
Betamethasone (Celestone),30,0.6286859512329102
Mycophenolate mofetil (CellCept),31,0.6085190176963806
Dyphylline (Dilor),18,0.5977768898010254
"Aztreonam (Azactam, Cayston)",28,0.6750739812850952
Tadalafil (Cialis),30,0.608711838722229
Cyclosporine (Neoral),85,0.606846809387207
Quizartinib (AC220),40,0.6251968145370483
Zinc Pyrithione,17,0.6437391042709351
