drug,true_value,n_seeds,median_pred,mean_pred,std_pred,median_abs_error,mean_abs_error
Ifosfamide,0.566,10,0.8527885973453522,0.8972160935401916,0.28948998536171205,0.2867885973453522,0.33121609354019166
Pyrazinamide (Pyrazinoic acid amide),0.397,10,0.49309395253658295,0.5018735557794571,0.2176193769688124,0.09609395253658293,0.10487355577945712
Zidovudine (Retrovir),0.3645,10,0.5666157007217407,0.5818395346403122,0.1738777693861228,0.20211570072174073,0.21733953464031225
Metformin hydrochloride (Glucophage),0.943,10,1.086767554283142,1.072218692302704,0.22539078058188353,0.14376755428314214,0.129218692302704
Captopril (Capoten),0.615,10,0.6618484556674957,0.7061783641576767,0.1979106146844601,0.046848455667495736,0.09117836415767666
Tiopronin (Thiola),0.388,10,0.6049879938364029,0.663719379901886,0.26007473309002693,0.21698799383640288,0.275719379901886
